iter	Accuracy	MultiClass
422	0.693132017	0.9362834519
423	0.6930855594	0.9361099618
424	0.6931629888	0.9360274511
425	0.6931784746	0.9358481538
426	0.6932713899	0.9357496129
427	0.6932404181	0.9355981417
428	0.6931475029	0.9354645156
429	0.6931629888	0.9353913207
430	0.6931165312	0.9352874564
431	0.6932094464	0.9351930894
432	0.6931784746	0.9351522575
433	0.6932404181	0.935047123
434	0.6932713899	0.9349245064
435	0.693255904	0.9347976553
436	0.6932713899	0.9344620475
437	0.6931784746	0.9343105764
438	0.6931939605	0.9342237708
439	0.6933333333	0.9340837931
440	0.6933023616	0.9339161706
441	0.6933488192	0.9338099473
442	0.6935346496	0.9336624081
443	0.6936585366	0.9335419691
444	0.6937824235	0.9333262558
445	0.6937824235	0.9332323122
446	0.6938133953	0.9331347997
447	0.693844367	0.9330139978
448	0.6938753388	0.9329479409
449	0.6939527681	0.9328109877
450	0.6939372822	0.9326730062
451	0.6939527681	0.9326119096
452	0.6939063105	0.9324755009
453	0.6940611692	0.9322796288
454	0.6940766551	0.9321996588
455	0.6940456833	0.9320617983
456	0.6941231127	0.9320010647
457	0.6940301974	0.9319474085
458	0.6939837398	0.9318364063
459	0.6940611692	0.931729457
460	0.6940456833	0.9315531238
461	0.6940456833	0.9314880952
462	0.6940147116	0.9313701365
463	0.6940147116	0.9312835729
464	0.6939992257	0.9311971303
465	0.6940611692	0.9310872169
466	0.6940921409	0.9309929709
467	0.6942160279	0.9308001234
468	0.6942624855	0.9307573558
469	0.6943089431	0.9306184669
470	0.6944018583	0.9305522285
471	0.6944018583	0.9304652415
472	0.6944792877	0.9303616797
473	0.6945102594	0.9302209761
474	0.6946031746	0.9301299361
475	0.6946341463	0.9300378678
476	0.6946960898	0.9299120451
477	0.6947580333	0.9298568162
478	0.6946960898	0.9297556136
479	0.6946960898	0.9296390462
480	0.6945876887	0.9295310685
481	0.6946186605	0.9293791134
482	0.6945722029	0.9293226142
483	0.6946960898	0.9291827575
484	0.694789005	0.929015256
485	0.6949748355	0.9288535013
486	0.6948819202	0.9286827937
487	0.694912892	0.9286163134
488	0.6950367789	0.928372169
489	0.6950832365	0.9282669135
490	0.69514518	0.9282018244
491	0.6950832365	0.928135707
492	0.6950212931	0.9280267615
493	0.6950832365	0.9279401374
494	0.6950987224	0.9278123185
495	0.6951296942	0.9277477134
496	0.69514518	0.9276407036
497	0.6951916376	0.9275701099
498	0.6952380952	0.9274454365
499	0.6952535811	0.9272779351
500	0.695269067	0.9271242862
501	0.6952380952	0.9270425015
502	0.6951916376	0.9269574502
503	0.6952071235	0.9268856465
504	0.6952071235	0.9267886179
505	0.6953310105	0.9266958237
506	0.6954703833	0.9265853054
507	0.6955168409	0.9263558604
508	0.6954858691	0.9262886542
509	0.6955478126	0.9261973722
510	0.6954858691	0.9261429902
511	0.6955787844	0.9259832317
512	0.6955942702	0.9259168723
513	0.6956871854	0.9258192388
514	0.6957491289	0.9256689774
515	0.6957336431	0.9255603344
516	0.6956871854	0.9253752904
517	0.6957646148	0.9252178305
518	0.6958885017	0.9251122121
519	0.6958265583	0.925058072
520	0.6958730159	0.9249206954
521	0.6959039876	0.9248718181
522	0.6959039876	0.9247937839
523	0.6959039876	0.9246707438
524	0.6960123887	0.9244567243
525	0.6961053039	0.9243461455
526	0.6961053039	0.9242867426
527	0.696089818	0.9242076195
528	0.6961517615	0.9240635889
529	0.6961053039	0.9239651689
530	0.6960433604	0.9238934258
531	0.6961207898	0.9238038981
532	0.6961053039	0.9237485482
533	0.6961053039	0.9237091681
534	0.695981417	0.9235439049
535	0.6960588463	0.9234498403
536	0.696089818	0.9233217189
537	0.696213705	0.923241628
538	0.6962291909	0.92319021
539	0.6963066202	0.923121068
540	0.6963530778	0.922943646
541	0.6963530778	0.922848916
542	0.6964614789	0.9227609006
543	0.6965234224	0.9225976941
544	0.6965543941	0.9225007864
545	0.6966318235	0.9224287408
546	0.6966782811	0.922368975
547	0.6966937669	0.9221535642
548	0.6966937669	0.9221137002
549	0.6968331398	0.9219817073
550	0.6966627952	0.9217946671
551	0.6966782811	0.9216768293
552	0.6966473093	0.921624504
553	0.6967092528	0.9215608062
554	0.6967402245	0.9214687379
555	0.6967711963	0.9214047377
556	0.6966937669	0.9213389228
557	0.6967247387	0.9211133493
558	0.6967092528	0.9210417272
